Date,258_0_RV,259_0_RV,260_0_RV,260_1038_RV,260_1039_RV,260_1040_RV,261_0_RV,265_0_RV,266_0_RV,269_0_RV,270_0_RV,273_0_RV,273_278_RV,273_279_RV,273_280_RV,273_281_RV,50_0_RV,50_224_RV,50_225_RV,50_226_RV,50_227_RV,50_228_RV,854_0_RV
3/29/17,14156,77278.079,44823.2,40276,4547.2,0,1976.52,92351.99,48938.4,112237.27,4160,529.2,0,0,0,529.2,256286.03,192404.22,7068.18,38136.36,12431.82,6245.45,1326.8
3/30/17,13828,87509.759,5108.8,3304,1804.8,0,1671.31,89642.08,157362.399,118198.18,6528,0,0,0,0,0,191912.29,136991.38,9970.46,24072.73,12431.82,8445.91,0
3/31/17,14956,41693.859,29619.2,27040,2579.2,0,1232.17,85204.387,0,28930.91,4688,1571,0,0,0,1571,145025.23,109934.78,9444.55,15100,0,10545.91,1699.2
4/1/17,13572,56879.307,0,0,0,0,1120.52,89690.39,47851.199,0,5360,2829.2,0,0,0,239.2,135694.05,108664.05,11210,4400,0,10429.99,304
4/2/17,4892,4409.76,0,0,0,0,4045.05,30400.81,0,0,1280,169.2,0,0,0,169.2,50723.12,42765.4,3326.82,0,0,4630.91,0
4/3/17,15244,36547.049,0,0,0,0,515.65,63705.607,19861.6,35972.73,5008,1330,0,0,0,440,233395.45,139205.62,12132.56,74345.45,0,6821.81,2014.8
4/4/17,19390,42055.998,41865.6,38220,3645.6,0,3167.83,82040.809,27936,98648.19,6352,2112.4,0,0,0,922.4,354383.01,165732.1,9486.37,170926.82,0,7047.72,1210.4
4/5/17,19236,45018.82,45568,41600,3968,0,1508.7,84501.607,5103.2,123736.37,4064,2385.8,0,0,0,1815.8,359437.8,168698.7,2668.18,179630.91,918.18,6951.81,2769.6
4/6/17,14428,64335.64,36691.2,31236.8,5454.4,0,4304.69,80759.587,14470.4,83539.09,3552,620,0,0,0,620,211043.76,85133.3,1276.82,93981.82,23145.45,7506.36,390.4
4/7/17,9984,37701.81,0,0,0,0,3682.61,60039.038,32048.8,4545.45,2824,2080,0,0,0,100,91893.7,22678.42,15097.56,0,42854.55,9283.17,444
4/8/17,13400,47463.69,0,0,0,0,966.96,62427.039,0,0,4032,110,0,0,0,110,90704.35,29604.22,17931.49,0,33486.37,9682.27,352
4/9/17,3376,1595.2,0,0,0,0,3753.92,19265.139,0,0,0,2624.73,0,0,0,2624.73,25219.96,8512.39,12591.21,0,0,4116.36,116.8
4/10/17,4528,7865.04,0,0,0,0,247.82,33858.408,0,0,960,152,0,0,0,152,47647.31,24493.58,18600.1,0,0,4553.64,128
4/11/17,5236,5984.28,0,0,0,0,694.08,37485.998,0,0,640,804.8,0,0,0,804.8,45041.81,26848.18,8877.27,0,5200,4116.36,0
4/12/17,2828,9932,0,0,0,0,251.3,37162.239,0,0,320,0,0,0,0,30,18414.55,11313.63,3874.54,0,0,4116.36,78.4
4/13/17,3764,0,0,0,0,0,47.83,28896.948,0,0,640,0,0,0,0,0,31446.58,16343.55,10986.67,0,0,4116.36,0
4/14/17,5720,0,0,0,0,0,143.48,35548.008,0,0,0,1081.82,0,0,0,1081.82,35637.69,7092.68,22676.39,0,0,5868.63,0
4/15/17,6740,0,0,0,0,0,453.28,49334.797,0,0,1408,230,0,0,0,230,49884.79,17452.79,26995.17,0,0,5436.81,453.6
4/16/17,2976,0,0,0,0,0,1243.72,32046.339,0,0,320,40,0,0,0,40,18913.01,2838.14,11958.51,0,0,4116.36,0
4/17/17,4576,0,0,0,0,0,371.3,33687.44,0,0,640,0,0,0,0,0,35227.37,19164.31,11946.69,0,0,4116.36,0
4/18/17,9698.4,14268,0,0,0,0,195.65,29187.6,924,4545.45,3648,118.6,0,0,0,118.6,157080.11,99440.11,7172.72,44696.36,0,5770.91,730.4
4/19/17,16444,54690,28870.4,25396,3474.4,0,1052.69,63035.19,152543.2,94256.36,6640,1522,0,0,0,1522,274241.82,148157.28,7109.09,106563.64,0,12411.81,212.8
4/20/17,10824,99273.488,28179.2,25548,2631.2,0,2617.74,81410.398,130023.2,121464.55,3264,111,0,0,0,111,166181.21,143778.94,2663.18,9527.27,0,10211.81,605.6
4/21/17,20888,66473.748,19230.4,17776,1454.4,0,2443.48,85686.879,110628,47670,5904,215,0,0,0,215,209847.62,138930.34,6087.28,51459.09,0,13370.91,1834.4
4/22/17,22712,74233.569,7806.4,7216,590.4,0,1491.13,107719.998,10559.04,15542.73,7040,2048.2,0,0,0,208.2,230999.27,171018.64,4987.28,26672.73,0,26480.62,1349.6
4/23/17,9392,6756.639,0,0,0,0,7074.96,53025.11,16846.4,9090.91,2240,65,0,0,0,65,103559.89,54856.71,2036.82,39227.27,0,7439.09,476
4/24/17,16580,27737.369,28636,26620,2016,0,490.95,59926.41,59765.6,70054.55,5200,629,0,0,0,629,274923.06,148439.42,10279.54,109097.73,0,7106.36,892
4/25/17,18304,57627.28,35410.4,32384,3026.4,0,3074.26,76172.399,53663.2,134069.09,5568,429,0,0,0,429,371370.63,273596.27,19598.63,68680,0,9142.99,1196
4/26/17,22924,51964.089,40653.6,35988,2945.6,0,3352.7,67844.51,28132,172356.82,6080,1720,0,0,0,770,349323.09,134139.9,18770.91,174568.19,14018.18,6875.91,736
4/27/17,18196,55771.589,45336,41432,3344,0,1351.13,102585.439,105836.8,163973.63,3648,1123.62,0,0,0,1123.62,278349.9,109795.81,13856.82,130454.55,13272.73,10970,3684
4/28/17,21268,61527.448,40808,38936,1872,0,2178.78,102836.008,30012.8,128624.55,2496,2194.91,0,0,0,2194.91,188371.89,96730.07,27193.63,3222.73,52222.73,9002.73,1171.2
4/29/17,22884.4,58926.479,0,0,0,0,1860.35,82404.4,9585.6,0,6208,1872.29,0,0,0,1872.29,196998,122930.72,26820.46,1204.55,33168.18,12874.09,228
4/30/17,11680,3129.6,0,0,0,0,5334.09,39099.84,0,0,2131.2,2216.8,0,0,0,2216.8,86716.38,42233.65,4706.37,0,33168.18,6608.18,1468
5/1/17,9016,10591.44,0,0,0,0,297.73,33995.688,0,0,0,123,0,0,0,123,107443,40088.46,2090.91,27700,32418.18,5145.45,0
